eval_model_name,domain,n,coverage_score_mean,factuality_score_mean,temporal_order_score_mean,specificity_score_mean,procedural_usefulness_score_mean,best_count,tie_count,best_rate,tie_rate,major_or_critical_omission_count,major_or_critical_hallucination_count,major_or_critical_omission_rate,major_or_critical_hallucination_rate,omission_severity_counts,hallucination_severity_counts,main_error_type_counts,main_error_severity_counts
claude_sonnet_4_6,chrome,20,5.0,4.95,5.0,4.95,5.0,8,12,0.4,0.6,0,0,0.0,0.0,"{'minor': 1, 'none': 19}",{'none': 20},{'omission': 1},{'minor': 1}
claude_sonnet_4_6,gimp,18,5.0,4.944444444444445,4.888888888888889,5.0,5.0,13,4,0.7222222222222222,0.2222222222222222,0,0,0.0,0.0,"{'minor': 1, 'none': 17}",{'none': 18},"{'loss_of_specificity': 1, 'omission': 1, 'wrong_order': 1}",{'minor': 3}
claude_sonnet_4_6,libreoffice_calc,22,5.0,4.909090909090909,5.0,5.0,4.954545454545454,17,4,0.7727272727272727,0.18181818181818182,0,0,0.0,0.0,"{'minor': 1, 'none': 21}","{'minor': 2, 'none': 20}","{'hallucination': 1, 'misleading_framing': 2, 'omission': 1}",{'minor': 4}
claude_sonnet_4_6,libreoffice_impress,22,4.954545454545454,4.7727272727272725,4.909090909090909,4.954545454545454,4.909090909090909,13,6,0.5909090909090909,0.2727272727272727,0,1,0.0,0.045454545454545456,"{'minor': 3, 'none': 19}","{'major': 1, 'minor': 2, 'none': 19}","{'hallucination': 1, 'loss_of_specificity': 1, 'misleading_framing': 2, 'omission': 1, 'wrong_order': 1, 'wrong_outcome': 2}","{'major': 1, 'minor': 7}"
claude_sonnet_4_6,libreoffice_writer,4,5.0,5.0,5.0,5.0,5.0,1,3,0.25,0.75,0,0,0.0,0.0,{'none': 4},{'none': 4},{},{}
claude_sonnet_4_6,multi_apps,20,4.9,4.7,5.0,4.85,4.9,12,3,0.6,0.15,0,0,0.0,0.0,"{'minor': 2, 'none': 18}","{'minor': 5, 'none': 15}","{'hallucination': 3, 'loss_of_specificity': 1, 'misleading_framing': 2, 'omission': 2}",{'minor': 8}
claude_sonnet_4_6,os,4,5.0,5.0,5.0,4.75,5.0,2,2,0.5,0.5,0,0,0.0,0.0,{'none': 4},{'none': 4},{'loss_of_specificity': 1},{'minor': 1}
claude_sonnet_4_6,thunderbird,10,5.0,5.0,5.0,5.0,5.0,8,2,0.8,0.2,0,0,0.0,0.0,{'none': 10},{'none': 10},{},{}
claude_sonnet_4_6,vlc,12,4.916666666666667,4.833333333333333,5.0,4.916666666666667,4.916666666666667,5,6,0.4166666666666667,0.5,0,1,0.0,0.08333333333333333,"{'minor': 1, 'none': 11}","{'major': 1, 'none': 11}",{'wrong_outcome': 1},{'major': 1}
claude_sonnet_4_6,vs_code,6,5.0,5.0,5.0,5.0,5.0,4,2,0.6666666666666666,0.3333333333333333,0,0,0.0,0.0,{'none': 6},{'none': 6},{},{}
gpt_5_5,chrome,20,4.85,4.95,5.0,4.45,4.8,0,12,0.0,0.6,0,0,0.0,0.0,"{'minor': 3, 'none': 17}",{'none': 20},{'loss_of_specificity': 6},{'minor': 6}
gpt_5_5,gimp,18,4.833333333333333,5.0,4.944444444444445,4.166666666666667,4.666666666666667,1,4,0.05555555555555555,0.2222222222222222,0,0,0.0,0.0,"{'minor': 5, 'none': 13}",{'none': 18},"{'loss_of_specificity': 9, 'omission': 3}",{'minor': 12}
gpt_5_5,libreoffice_calc,22,4.681818181818182,4.863636363636363,5.0,4.136363636363637,4.318181818181818,1,4,0.045454545454545456,0.18181818181818182,0,0,0.0,0.0,"{'minor': 10, 'none': 12}","{'minor': 2, 'none': 20}","{'loss_of_specificity': 16, 'misleading_framing': 2, 'omission': 4}",{'minor': 22}
gpt_5_5,libreoffice_impress,22,4.7727272727272725,4.818181818181818,4.909090909090909,4.181818181818182,4.5,3,6,0.13636363636363635,0.2727272727272727,0,0,0.0,0.0,"{'minor': 6, 'none': 16}","{'minor': 3, 'none': 19}","{'hallucination': 1, 'loss_of_specificity': 9, 'misleading_framing': 1, 'omission': 3}",{'minor': 14}
gpt_5_5,libreoffice_writer,4,5.0,5.0,5.0,4.75,5.0,0,3,0.0,0.75,0,0,0.0,0.0,{'none': 4},{'none': 4},{},{}
gpt_5_5,multi_apps,20,4.75,4.95,4.9,4.35,4.6,5,3,0.25,0.15,0,0,0.0,0.0,"{'minor': 7, 'none': 13}","{'minor': 1, 'none': 19}","{'loss_of_specificity': 10, 'misleading_framing': 1, 'omission': 4, 'wrong_order': 1}",{'minor': 16}
gpt_5_5,os,4,5.0,5.0,5.0,4.5,4.5,0,2,0.0,0.5,0,0,0.0,0.0,"{'minor': 1, 'none': 3}",{'none': 4},{'loss_of_specificity': 2},{'minor': 2}
gpt_5_5,thunderbird,10,5.0,5.0,5.0,4.2,4.4,0,2,0.0,0.2,0,0,0.0,0.0,"{'minor': 2, 'none': 8}",{'none': 10},{'loss_of_specificity': 6},{'minor': 6}
gpt_5_5,vlc,12,4.833333333333333,5.0,5.0,4.5,4.75,1,6,0.08333333333333333,0.5,0,0,0.0,0.0,"{'minor': 3, 'none': 9}",{'none': 12},"{'loss_of_specificity': 1, 'omission': 2}",{'minor': 3}
gpt_5_5,vs_code,6,4.666666666666667,4.833333333333333,4.833333333333333,4.0,4.5,0,2,0.0,0.3333333333333333,0,0,0.0,0.0,"{'minor': 2, 'none': 4}",{'none': 6},{'loss_of_specificity': 5},{'minor': 5}
