distribution,value,count
pair_outcome,both_failure,38
pair_outcome,both_success,19
pair_outcome,both_unknown,1
pair_outcome,mixed_failure_unknown,1
pair_outcome,mixed_success_failure,10
success_pattern,False+False,38
success_pattern,False+None,1
success_pattern,False+True,10
success_pattern,None+None,1
success_pattern,True+True,19
paired_task_domain,chrome,10
paired_task_domain,gimp,9
paired_task_domain,libreoffice_calc,11
paired_task_domain,libreoffice_impress,11
paired_task_domain,libreoffice_writer,2
paired_task_domain,multi_apps,10
paired_task_domain,os,2
paired_task_domain,thunderbird,5
paired_task_domain,vlc,6
paired_task_domain,vs_code,3
