summary,eval_model_name,n,rouge1_f1_mean,rouge2_f1_mean,rougeL_f1_mean,bertscore_precision_mean,bertscore_recall_mean,bertscore_f1_mean,gold_word_count_mean,model_word_count_mean,domain,source_model,success_binary
by_eval_model,claude_sonnet_4_6,138,0.5545577228747459,0.2863419115935936,0.3983795814519142,0.871332031229268,0.9058735353359277,0.8881675782410995,108.8768115942029,201.18115942028984,,,
by_eval_model,gpt_5_5,138,0.6455055700648222,0.316726790151547,0.4718906355361313,0.9032013999379199,0.913460554852002,0.9081988118696904,108.8768115942029,117.08695652173913,,,
by_eval_model_and_domain,claude_sonnet_4_6,20,0.5831063817844483,0.30752265282348346,0.44369714870722426,0.8889531046152115,0.9193056166172028,0.9038319796323776,91.15,158.2,chrome,,
by_eval_model_and_domain,claude_sonnet_4_6,18,0.546729628869558,0.2835956917666337,0.40193287787472226,0.8766065968407525,0.905439426501592,0.8906645907296075,107.0,200.16666666666666,gimp,,
by_eval_model_and_domain,claude_sonnet_4_6,22,0.5313155465914012,0.248061171431294,0.35451370076491523,0.859289513392882,0.8979175849394365,0.8781330368735574,139.22727272727272,248.3181818181818,libreoffice_calc,,
by_eval_model_and_domain,claude_sonnet_4_6,22,0.5485678016230368,0.2878388807212238,0.39520042431807956,0.8671857172792609,0.8959149122238159,0.8810929737307809,109.22727272727273,195.72727272727272,libreoffice_impress,,
by_eval_model_and_domain,claude_sonnet_4_6,4,0.6192536452565522,0.3405836546532001,0.45309527654731147,0.8906037360429764,0.9260483980178833,0.9079527407884598,85.25,149.0,libreoffice_writer,,
by_eval_model_and_domain,claude_sonnet_4_6,20,0.5892435221691795,0.305693981643895,0.4051615860473944,0.8686616480350494,0.9038541853427887,0.8858132064342499,124.95,219.85,multi_apps,,
by_eval_model_and_domain,claude_sonnet_4_6,4,0.5337147749977186,0.27655961084130115,0.37360481128352185,0.8745006322860718,0.9121895581483841,0.8929126262664795,90.5,190.75,os,,
by_eval_model_and_domain,claude_sonnet_4_6,10,0.5151630168414242,0.26001352568860703,0.38341571799606994,0.860709422826767,0.9050573527812957,0.8822584509849548,91.1,193.5,thunderbird,,
by_eval_model_and_domain,claude_sonnet_4_6,12,0.5386547137274192,0.2893244281572187,0.40112180155750193,0.8705856452385584,0.9100208282470703,0.8898270130157471,95.5,198.16666666666666,vlc,,
by_eval_model_and_domain,claude_sonnet_4_6,6,0.5426733805187288,0.3026210091104762,0.38604764028780636,0.869268665711085,0.9102253218491873,0.8892195125420889,91.83333333333333,193.0,vs_code,,
by_eval_model_and_domain,gpt_5_5,20,0.6337142482268817,0.323435181782737,0.4916438131397299,0.9038038074970245,0.9198752671480179,0.9117377310991287,91.15,105.7,chrome,,
by_eval_model_and_domain,gpt_5_5,18,0.6329076563549646,0.30489168888958634,0.4678099462037129,0.9024251533879174,0.9110023048188951,0.9065795739491781,107.0,119.05555555555556,gimp,,
by_eval_model_and_domain,gpt_5_5,22,0.6244027252323173,0.2864230309704612,0.4344278218874045,0.8958936902609739,0.9089937020431865,0.9023562317544763,139.22727272727272,146.9090909090909,libreoffice_calc,,
by_eval_model_and_domain,gpt_5_5,22,0.6347246022109746,0.3067321482141762,0.4684059798613505,0.905649870634079,0.9046584394845095,0.9048888087272644,109.22727272727273,105.72727272727273,libreoffice_impress,,
by_eval_model_and_domain,gpt_5_5,4,0.7034259892154628,0.3965884536394164,0.5729323308270677,0.9148270040750504,0.9297240674495697,0.9221458286046982,85.25,91.0,libreoffice_writer,,
by_eval_model_and_domain,gpt_5_5,20,0.6497930682020564,0.3138776142394177,0.45460024467508475,0.8959103763103485,0.9083736479282379,0.9019802421331405,124.95,135.35,multi_apps,,
by_eval_model_and_domain,gpt_5_5,4,0.6244806183654478,0.2893598068598069,0.42337256020300346,0.8992854356765747,0.9154179096221924,0.9072640538215637,90.5,108.0,os,,
by_eval_model_and_domain,gpt_5_5,10,0.6766006662985797,0.3300830536464134,0.49765414384317663,0.90939901471138,0.9228269636631012,0.9160261869430542,91.1,97.2,thunderbird,,
by_eval_model_and_domain,gpt_5_5,12,0.7003542807363748,0.35180979607037116,0.5081448786544888,0.916132261355718,0.9230330437421799,0.9195454816023508,95.5,103.75,vlc,,
by_eval_model_and_domain,gpt_5_5,6,0.6390998100131567,0.359705941181722,0.4756007218574097,0.9043118953704834,0.9181592663129171,0.9111343622207642,91.83333333333333,103.83333333333333,vs_code,,
by_eval_model_and_source_agent,claude_sonnet_4_6,69,0.563539577932774,0.292282702717961,0.40321670483882655,0.8735350275385207,0.905042304508928,0.8888955669126649,116.18840579710145,206.15942028985506,,UI-TARS-0717-100step,
by_eval_model_and_source_agent,claude_sonnet_4_6,69,0.5455758678167183,0.2804011204692262,0.39354245806500193,0.8691290349200151,0.9067047661629276,0.8874395895695341,101.56521739130434,196.20289855072463,,doubao-1-5-thinking-vision-pro-250428-100step,
by_eval_model_and_source_agent,gpt_5_5,69,0.6485084841406304,0.3151722719796419,0.46688216021848317,0.9026583277660868,0.9120262576186139,0.9071784926497418,116.18840579710145,126.14492753623189,,UI-TARS-0717-100step,
by_eval_model_and_source_agent,gpt_5_5,69,0.6425026559890135,0.318281308323452,0.4768991108537789,0.9037444721097532,0.9148948520853899,0.9092191310896389,101.56521739130434,108.02898550724638,,doubao-1-5-thinking-vision-pro-250428-100step,
