summary,eval_model_name,n,rouge1_f1_mean,rouge2_f1_mean,rougeL_f1_mean,bertscore_precision_mean,bertscore_recall_mean,bertscore_f1_mean,gold_word_count_mean,model_word_count_mean,domain,source_model,success_binary
by_eval_model,claude_sonnet_4_6,138,0.5545577228747459,0.2863419115935936,0.3983795814519142,0.23636544553859942,0.4414055602544028,0.3373845878286638,108.8768115942029,201.18115942028984,,,
by_eval_model,gpt_5_5,138,0.6455055700648222,0.316726790151547,0.4718906355361313,0.4255077070084171,0.4864308162308905,0.4560711211052494,108.8768115942029,117.08695652173913,,,
by_eval_model_and_domain,claude_sonnet_4_6,20,0.5831063817844483,0.30752265282348346,0.44369714870722426,0.3409451745450497,0.5211183682084084,0.4301973283290863,91.15,158.2,chrome,,
by_eval_model_and_domain,claude_sonnet_4_6,18,0.546729628869558,0.2835956917666337,0.40193287787472226,0.2676695380359888,0.4388293671525187,0.3521795438395606,107.0,200.16666666666666,gimp,,
by_eval_model_and_domain,claude_sonnet_4_6,22,0.5313155465914012,0.248061171431294,0.35451370076491523,0.1648940101943233,0.3941908499056643,0.277929139746861,139.22727272727272,248.3181818181818,libreoffice_calc,,
by_eval_model_and_domain,claude_sonnet_4_6,22,0.5485678016230368,0.2878388807212238,0.39520042431807956,0.21175744096663865,0.3823059949685227,0.2954670631072738,109.22727272727273,195.72727272727272,libreoffice_impress,,
by_eval_model_and_domain,claude_sonnet_4_6,4,0.6192536452565522,0.3405836546532001,0.45309527654731147,0.35074153169989586,0.5611334666609764,0.4546131268143654,85.25,149.0,libreoffice_writer,,
by_eval_model_and_domain,claude_sonnet_4_6,20,0.5892435221691795,0.305693981643895,0.4051615860473944,0.22051689410582184,0.4294216953217983,0.3234347376972437,124.95,219.85,multi_apps,,
by_eval_model_and_domain,claude_sonnet_4_6,4,0.5337147749977186,0.27655961084130115,0.37360481128352185,0.2551708370447159,0.47888804227113724,0.3654993325471878,90.5,190.75,os,,
by_eval_model_and_domain,claude_sonnet_4_6,10,0.5151630168414242,0.26001352568860703,0.38341571799606994,0.17332106158137323,0.4365619421005249,0.3023726150393486,91.1,193.5,thunderbird,,
by_eval_model_and_domain,claude_sonnet_4_6,12,0.5386547137274192,0.2893244281572187,0.40112180155750193,0.23193574789911509,0.4660177876551946,0.3472169525921345,95.5,198.16666666666666,vlc,,
by_eval_model_and_domain,claude_sonnet_4_6,6,0.5426733805187288,0.3026210091104762,0.38604764028780636,0.22411957258979479,0.46723132332166034,0.3436173548301061,91.83333333333333,193.0,vs_code,,
by_eval_model_and_domain,gpt_5_5,20,0.6337142482268817,0.323435181782737,0.4916438131397299,0.42908292412757876,0.5244990184903144,0.4770394578576088,91.15,105.7,chrome,,
by_eval_model_and_domain,gpt_5_5,18,0.6329076563549646,0.30489168888958634,0.4678099462037129,0.42090077532662284,0.47184236761596465,0.44647708700762856,107.0,119.05555555555556,gimp,,
by_eval_model_and_domain,gpt_5_5,22,0.6244027252323173,0.2864230309704612,0.4344278218874045,0.382137001238086,0.45992222834717145,0.421453406187621,139.22727272727272,146.9090909090909,libreoffice_calc,,
